addr,kind,x_axis_addr,y_axis_addr,x_n,y_n,elem_size,signed,consumer_func,name_or_blank,confidence,evidence,x_elem,y_elem,struct_addr,sites
0x5C2F1E,scalar,,,1,,1,0,FUN_00023bac@0x023BAC,,static,enumerate_maps.py; direct load; 1 call site(s): 0x023EB4,,,,1
0x5C2F1F,scalar,,,1,,1,0,FUN_00023bac@0x023BAC,,static,enumerate_maps.py; direct load; 1 call site(s): 0x023FC4,,,,1
0x5C2F20,scalar,,,1,,1,0,FUN_00023bac@0x023BAC,,static,enumerate_maps.py; direct load; 1 call site(s): 0x023E9C,,,,1
0x5C2F21,scalar,,,1,,1,0,FUN_00023bac@0x023BAC,,static,enumerate_maps.py; direct load; 1 call site(s): 0x023E68,,,,1
0x5C2F22,scalar,,,1,,1,0,FUN_00023bac@0x023BAC,,static,enumerate_maps.py; direct load; 1 call site(s): 0x0240B8,,,,1
0x5C2F24,scalar,,,1,,2,0,FUN_0002417c@0x02417C,,static,enumerate_maps.py; direct load; 1 call site(s): 0x024278,,,,1
0x5C2F26,scalar,,,1,,2,0,FUN_0002417c@0x02417C,,static,enumerate_maps.py; direct load; 1 call site(s): 0x024264,,,,1
0x5C2F28,scalar,,,1,,1,0,FUN_000243cc@0x0243CC,,static,enumerate_maps.py; direct load; 1 call site(s): 0x025A90,,,,1
0x5C2F29,scalar,,,1,,1,0,FUN_000243cc@0x0243CC,,static,enumerate_maps.py; direct load; 1 call site(s): 0x025B68,,,,1
0x5C2F2A,scalar,,,1,,1,0,FUN_000243cc@0x0243CC,,static,enumerate_maps.py; direct load; 1 call site(s): 0x024F84,,,,1
0x5C2F2B,scalar,,,1,,1,0,FUN_000243cc@0x0243CC,,static,enumerate_maps.py; direct load; 1 call site(s): 0x024C24,,,,1
0x5C2F2C,scalar,,,1,,1,0,FUN_000243cc@0x0243CC,,static,enumerate_maps.py; direct load; 1 call site(s): 0x025350,,,,1
0x5C2F2D,scalar,,,1,,1,0,FUN_000243cc@0x0243CC,,static,enumerate_maps.py; direct load; 1 call site(s): 0x025194,,,,1
0x5C2F2E,scalar,,,1,,1,0,FUN_000242f8@0x0242F8 FUN_000243cc@0x0243CC,,static,enumerate_maps.py; direct load; 3 call site(s): 0x0243AC 0x0243B4 0x0258DC,,,,3
0x5C2F2F,scalar,,,1,,1,0,FUN_000243cc@0x0243CC,,static,enumerate_maps.py; direct load; 3 call site(s): 0x025628 0x025724 0x025858,,,,3
0x5C2F30,scalar,,,1,,1,0,FUN_000243cc@0x0243CC,,static,enumerate_maps.py; direct load; 2 call site(s): 0x024FFC 0x0250F0,,,,2
