var_id,ram_addr,size,name_or_blank,scaling_or_blank,evidence
1521,0x7f9cf6,2,,fmt=0x10 A=0xff,"handler 0x43140; also reads 0x801e64/1,0x7f93ac/1,0x7f9cf7/1; tools/measuring_vars.py"
1526,0x7fd46a,1,,fmt=0x10 A=0xff,"handler 0x43228; also reads 0x801e7a/1,0x802520/1; tools/measuring_vars.py"
1533,0x7f9dcf,1,,fmt=0x10 A=0xff,"handler 0x43290; also reads 0x7f9c5f/1,0x7f9dbb/1,0x7fcff7/1,0x7fd38d/1,0x7f949c/1,0x802128/1; tools/measuring_vars.py"
1534,0x7f9ce8,2,,fmt=0x10 A=0xff,"handler 0x43360; also reads 0x7fd020/1,0x8010c5/1,0x7f9ce9/1; tools/measuring_vars.py"
1535,0x7f9dba,2,,fmt=0x10 A=0xff,"handler 0x43448; also reads 0x7f9c5f/1,0x7f9db7/1,0x7f9dcf/1,0x7f943a/1,0x7f9dbb/1; tools/measuring_vars.py"
1539,0x7fb69a,2,,fmt=0x25 A=0x00,handler 0x43548; also reads 0x7fd469/1; tools/measuring_vars.py
1540,0x7fb69a,2,,fmt=0x25 A=0x00,handler 0x4358c; also reads 0x7fd469/1; tools/measuring_vars.py
1541,0x80149e,2,,fmt=0x42 A=0x08,handler 0x435d0; tools/measuring_vars.py
1545,0x7fd0b6,1,,fmt=0x25 A=0x00,handler 0x435fc; tools/measuring_vars.py
1546,0x7fd0b6,1,,fmt=0x25 A=0x00,handler 0x43624; tools/measuring_vars.py
1551,0x801496,2,,fmt=0x14 A=0x20,handler 0x4364c; tools/measuring_vars.py
1552,0x7f9214,2,,fmt=0x1f A=0x50,handler 0x43668; tools/measuring_vars.py
1553,0x80184c,2,,fmt=0x05 A=0x37,handler 0x43694; tools/measuring_vars.py
1554,0x803048,2,,fmt=0x1f A=0x28,handler 0x4369c; tools/measuring_vars.py
1555,0x801608,2,,fmt=0x1f A=0x14,handler 0x436c8; tools/measuring_vars.py
1579,0x8022f2,2,,fmt=0x22 A=0x32,handler 0x436f4; tools/measuring_vars.py
1580,0x8022f6,2,,fmt=0x22 A=0x32,handler 0x43738; tools/measuring_vars.py
1581,0x7f943e,2,,fmt=0x36,handler 0x4377c; tools/measuring_vars.py
1582,0x7f94a6,2,,fmt=0x36,handler 0x43794; tools/measuring_vars.py
1583,0x7f949e,2,,fmt=0x36,handler 0x437ac; tools/measuring_vars.py
1584,0x7fef16,2,,fmt=0x5b A=0x0a,handler 0x437c4; tools/measuring_vars.py
1585,0x7fef14,2,,fmt=0x5b A=0x0a,handler 0x437dc; tools/measuring_vars.py
1586,0x8021b8,2,,fmt=0x1a A=0x14,handler 0x437f4; tools/measuring_vars.py
1587,0x801348,1,,fmt=0x10 A=0xff,"handler 0x43830; also reads 0x7f9cf5/1,0x7f9cf7/1,0x801e64/1,0x7fed6c/2,0x7f93ac/1; tools/measuring_vars.py"
1590,0x801348,1,,fmt=0x10 A=0xff,"handler 0x438e4; also reads 0x7f9dc7/1,0x7f9dc9/1,0x801e65/1,0x7fed6c/2; tools/measuring_vars.py"
1591,0x801348,1,,fmt=0x10 A=0xff,"handler 0x43980; also reads 0x7f9ded/1,0x7fd1e4/1,0x7fd1e3/1; tools/measuring_vars.py"
1592,0x7f9d96,2,,fmt=0x10 A=0xff,handler 0x43a2c; also reads 0x7f9d97/1; tools/measuring_vars.py
1593,0x7f9cd0,2,,fmt=0x10 A=0xff,"handler 0x43afc; also reads 0x7fd1bd/1,0x7f9cd1/1,0x7fe9c8/1,0x7fe9ca/1; tools/measuring_vars.py"
1594,0x7f9cd2,2,,fmt=0x10 A=0xff,"handler 0x43be8; also reads 0x7fd1bd/1,0x7f9cd3/1,0x7fe9c9/1,0x7fe9cb/1; tools/measuring_vars.py"
1597,0x7f9dc6,2,,fmt=0x10 A=0xff,"handler 0x43cd4; also reads 0x801e64/1,0x801e65/1,0x7f93ac/1,0x7f9dc7/1; tools/measuring_vars.py"
1598,0x7f9dc8,2,,fmt=0x10 A=0xff,"handler 0x43dac; also reads 0x801e64/1,0x801e65/1,0x7f93ac/1,0x7f9dc9/1; tools/measuring_vars.py"
1599,0x7f9cf4,2,,fmt=0x10 A=0xff,"handler 0x43e84; also reads 0x801e64/1,0x7f93ac/1,0x7f9cf5/1; tools/measuring_vars.py"
1604,0x801284,2,,fmt=0x24,handler 0x43f6c; tools/measuring_vars.py
1657,0x7f9d7b,1,,fmt=0x10 A=0xff,handler 0x43f90; also reads 0x7f9d7d/1; tools/measuring_vars.py
