start,end,r13_read,r13_write,r13_addr,abs_read,abs_write,abs_addr,ptr_words,ptr_cal,init_bytes,known,free_candidate
0x7FEE60,0x7FEE7F,544,32,3,0,0,0,0,0,32,,0
0x7FEE80,0x7FEE9F,8,8,4,0,0,0,0,0,32,,0
0x7FEEA0,0x7FEEBF,70,44,4,0,0,0,0,0,32,,0
0x7FEEC0,0x7FEEDF,22,36,5,0,0,0,0,0,32,,0
0x7FEEE0,0x7FEEFF,0,6,4,0,0,0,0,0,32,,0
0x7FEF00,0x7FEF1F,114,66,12,6,0,1,0,0,32,,0
0x7FEF20,0x7FEF3F,58,58,0,0,0,0,0,0,32,,0
0x7FEF40,0x7FEF5F,24,46,0,0,0,0,0,0,32,,0
0x7FEF60,0x7FEF7F,213,140,1,0,0,0,2,0,32,,0
0x7FEF80,0x7FEF9F,177,50,12,0,0,0,1,0,32,,0
0x7FEFA0,0x7FEFBF,212,72,6,0,0,0,0,0,32,,0
0x7FEFC0,0x7FEFDF,72,58,0,0,0,0,0,1,32,,0
0x7FEFE0,0x7FEFFF,0,0,0,0,0,2,0,0,0,,0
0x7FF000,0x7FF01F,0,0,0,0,0,0,1,0,0,stack_overshoot_estimate,0
0x7FF020,0x7FF03F,0,0,0,0,0,0,0,0,0,stack_overshoot_estimate,0
0x7FF040,0x7FF05F,0,0,0,0,0,0,0,0,0,stack_overshoot_estimate,0
0x7FF060,0x7FF07F,0,0,0,0,0,0,0,0,0,stack_overshoot_estimate,0
0x7FF080,0x7FF09F,0,0,0,0,0,0,0,0,0,stack_overshoot_estimate,0
0x7FF0A0,0x7FF0BF,0,0,0,0,0,0,0,0,0,stack_overshoot_estimate,0
0x7FF0C0,0x7FF0DF,0,0,0,0,0,0,0,0,0,stack_overshoot_estimate,0
0x7FF0E0,0x7FF0FF,0,0,0,0,0,0,0,0,0,stack_overshoot_estimate,0
0x7FF100,0x7FF11F,0,0,0,0,0,0,0,0,0,stack_overshoot_estimate,0
0x7FF120,0x7FF13F,0,0,0,0,0,0,0,0,0,stack_overshoot_estimate,0
0x7FF140,0x7FF15F,0,0,0,0,0,0,0,0,0,stack_overshoot_estimate,0
0x7FF160,0x7FF17F,0,0,0,0,0,0,0,0,0,stack_overshoot_estimate,0
0x7FF180,0x7FF19F,0,0,0,0,0,0,0,0,0,stack_overshoot_estimate,0
0x7FF1A0,0x7FF1BF,0,0,0,0,0,0,0,0,0,stack_overshoot_estimate,0
0x7FF1C0,0x7FF1DF,0,0,0,0,0,0,0,0,0,stack_overshoot_estimate,0
0x7FF1E0,0x7FF1FF,0,0,0,0,0,0,0,0,0,stack_overshoot_estimate,0
